AUD=$ 1.31
BGN=лB 1.75
BRL=R$ 3.14
CAD=$ 1.24
CHF=CHF 0.93
CNY=¥ 6.21
CZK=Kč 24.31
DKK=kr 6.66
GBP=£ 0.64
HKD=$ 7.75
HRK=kn 6.77
HUF=Ft 279.11
IDR=Rp 13323.97
ILS=₪ 3.79
INR=₨ 63.60
JPY=¥ 123.71
KRW=₩ 1123.45
MXN=$ 15.55
MYR=RM 3.79
NOK=kr 7.83
NZD=$ 1.46
PHP=₱ 45.09
PLN=zł 3.73
RON=lei 3.98
RUB=руб 55.17
SEK=kr 8.27
SGD=$ 1.35
THB=฿ 33.80
TRY=₤ 2.66
ZAR=R 12.18
EUR=€ 0.89
